[01.03.24 06:56:28] multi-gpu training is prohibited due to the size of SR25 dataset and unstable training performance
[01.03.24 06:56:28] Using random seed 2448891054...
[01.03.24 06:56:30] Args: {
    "JK": "last",
    "K": 4,
    "aggr": "add",
    "batch_size": 64,
    "combine": "geometric",
    "dataset_name": "sr25",
    "drop_prob": 0.0,
    "eps": 0.0,
    "factor": 0.5,
    "gpu_ids": [],
    "hidden_size": 48,
    "input_size": 2,
    "kernel": "spd",
    "l2_wd": 0.0,
    "load_path": null,
    "lr": 0.001,
    "max_distance_count": 1000,
    "max_edge_count": 1000,
    "max_edge_type": 1,
    "max_hop_num": 4,
    "max_pe_num": 1000,
    "model_name": "KPGIN",
    "name": "KPGIN_spd_4_True_True_False_False",
    "norm_type": "Batch",
    "num_epochs": 200,
    "num_hop1_edge": 1,
    "num_hopk_edge": 1000,
    "num_layer": 4,
    "num_workers": 0,
    "output_size": 15,
    "parallel": false,
    "patience": 5,
    "pooling_method": "sum",
    "residual": false,
    "save_dir": "./save/sr25/KPGIN_spd_4_True_True_False_False-02",
    "seed": 224,
    "train_eps": false,
    "use_rd": false,
    "virtual_node": false,
    "with_kn_configuration": true,
    "wo_edge_feature": false,
    "wo_path_encoding": false,
    "wo_peripheral_configuration": true,
    "wo_peripheral_edge": true
}
[01.03.24 06:56:36] Epoch: 153, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0396
[01.03.24 06:56:36] Epoch: 154, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0393
[01.03.24 06:56:36] Epoch: 155, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0384
[01.03.24 06:56:36] Epoch: 156, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0383
[01.03.24 06:56:36] Epoch: 157, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0371
[01.03.24 06:56:36] Epoch: 158, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0384
[01.03.24 06:56:36] Epoch: 159, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0372
[01.03.24 06:56:36] Epoch: 160, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0369
[01.03.24 06:56:36] Epoch: 161, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0377
[01.03.24 06:56:36] Epoch: 162, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0378
[01.03.24 06:56:36] Epoch: 163, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0390
[01.03.24 06:56:36] Epoch: 164, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0360
[01.03.24 06:56:37] Epoch: 165, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0385
[01.03.24 06:56:37] Epoch: 166, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0383
[01.03.24 06:56:37] Epoch: 167, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0388
[01.03.24 06:56:37] Epoch: 168, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0384
[01.03.24 06:56:37] Epoch: 169, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0387
[01.03.24 06:56:37] Epoch: 170, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0380
[01.03.24 06:56:37] Epoch: 171, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0384
[01.03.24 06:56:37] Epoch: 172, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0402
[01.03.24 06:56:37] Epoch: 173, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0367
[01.03.24 06:56:37] Epoch: 174, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0379
[01.03.24 06:56:37] Epoch: 175, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0378
[01.03.24 06:56:37] Epoch: 176, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0384
[01.03.24 06:56:37] Epoch: 177, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0374
[01.03.24 06:56:37] Epoch: 178, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0397
[01.03.24 06:56:37] Epoch: 179, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0362
[01.03.24 06:56:37] Epoch: 180, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0365
[01.03.24 06:56:37] Epoch: 181, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0387
[01.03.24 06:56:37] Epoch: 182, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0382
[01.03.24 06:56:37] Epoch: 183, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0382
[01.03.24 06:56:37] Epoch: 184, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0382
[01.03.24 06:56:37] Epoch: 185, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0420
[01.03.24 06:56:37] Epoch: 186, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0387
[01.03.24 06:56:37] Epoch: 187, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0377
[01.03.24 06:56:37] Epoch: 188, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0365
[01.03.24 06:56:37] Epoch: 189, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0363
[01.03.24 06:56:37] Epoch: 190, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0388
[01.03.24 06:56:38] Epoch: 191, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0362
[01.03.24 06:56:38] Epoch: 192, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0391
[01.03.24 06:56:38] Epoch: 193, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0382
[01.03.24 06:56:38] Epoch: 194, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0383
[01.03.24 06:56:38] Epoch: 195, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0379
[01.03.24 06:56:38] Epoch: 196, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0377
[01.03.24 06:56:38] Epoch: 197, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0369
[01.03.24 06:56:38] Epoch: 198, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0398
[01.03.24 06:56:38] Epoch: 199, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0392
[01.03.24 06:56:38] Epoch: 200, LR: 0.001000, Train Loss: 2.7081, Test Acc: 0.0667, Best Test Acc: 0.0667, Seconds: 0.0380
[01.03.24 06:56:38] Loss: 2.7081, Best test: 0.0667, Seconds/epoch: 0.0388
